[INFO][main][2018-03-28 17:24:14][us.codecraft.webmagic.Spider] - Spider mm.taobao.com started!
 [INFO][pool-1-thread-6][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=70
 [INFO][pool-1-thread-3][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=63
 [INFO][pool-1-thread-9][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=71
 [INFO][pool-1-thread-8][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=68
 [INFO][pool-1-thread-7][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=72
 [INFO][pool-1-thread-5][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=73
 [INFO][pool-1-thread-2][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=74
 [INFO][pool-1-thread-1][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=76
 [INFO][pool-1-thread-10][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=75
 [INFO][pool-1-thread-4][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=77
 [INFO][pool-1-thread-9][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=80
 [INFO][pool-1-thread-6][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=78
 [INFO][pool-1-thread-3][2018-03-28 17:24:58][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=79
